mode,family,choices,depth,reuse,schedule,requested_bytes,peak_above_start,wall_median_ns,wall_min_ns,wall_max_ns
original-shared,independent,3,0,1,mixed,183389,39197,140103,139509,149693
original-shared,independent,3,0,4,eligible,657195,39197,377130,296725,464006
original-shared,independent,3,0,4,mixed,461585,39197,368466,232464,443145
original-shared,independent,3,1,1,eligible,212607,42013,143153,82888,155411
original-shared,independent,3,1,1,mixed,222317,42013,141097,138936,166582
original-shared,independent,3,1,4,eligible,814813,42013,340662,338914,542438
original-shared,independent,3,1,4,mixed,531847,42013,423816,251798,466734
original-shared,independent,3,16,1,eligible,1472835,84875,775859,711252,818549
original-shared,independent,3,16,1,mixed,1480241,84875,718139,514993,1096881
original-shared,independent,3,16,4,eligible,5828219,85827,2024966,1868069,3035610
original-shared,independent,3,16,4,mixed,3096325,84875,1424943,1158380,2947330
original-shared,early,0,0,1,eligible,20518,7085,17752,10561,23704
original-shared,early,0,0,1,mixed,21573,7085,20715,18684,25733
original-shared,early,0,0,4,eligible,61720,7085,46512,30715,52386
original-shared,early,0,0,4,mixed,54765,7085,47343,29288,65848
original-shared,early,0,1,1,eligible,25124,7291,21867,13378,24428
original-shared,early,0,1,1,mixed,26179,7291,24483,23314,29663
original-shared,early,0,1,4,eligible,77714,7291,57464,42687,61308
