family,choices,depth,history,reverse,consumer,mode,counted,median_ns,min_ns,max_ns,requested_bytes,peak_excess,signal_limited
common,0,16,False,False,all,active-scan,True,158908,154929,186943,102120,16565,False
common,0,16,False,False,all,birth,False,328373,299983,378434,342227,28233,False
common,0,16,False,False,all,birth,True,149167,147805,173337,103016,18168,False
common,0,16,False,False,all,birth-miss,False,320630,288829,334703,329143,28265,False
common,0,16,False,False,all,birth-miss,True,150717,134348,156630,102988,18176,False
common,0,16,False,False,all,birth-miss-template,False,370339,348536,412686,412027,41585,False
common,0,16,False,False,all,birth-miss-template,True,165795,156680,177203,119248,20952,False
common,0,16,False,False,all,conditional,False,1892146,1805296,2012852,2375076,55026,False
common,0,16,False,False,all,conditional,True,308201,292325,330643,296965,22313,False
common,0,16,False,False,all,indexed,False,389265,323276,398448,276099,25028,False
common,0,16,False,False,all,indexed,True,177060,162464,182413,119536,17909,False
common,0,16,False,False,all,native-indexed,False,285286,267455,346076,240003,22806,False
common,0,16,False,False,all,native-indexed,True,190371,179520,203486,117040,17805,False
common,0,16,False,False,all,native-scan,False,253771,223332,264372,206107,20718,False
common,0,16,False,False,all,native-scan,True,173450,163260,190611,102088,15717,False
common,0,16,False,False,all,scan,False,257016,238278,293087,205403,20540,False
common,0,16,False,False,all,scan,True,151436,138725,171370,98376,15485,False
common,0,16,False,False,all,sealed-indexed,False,352843,339144,405222,268529,25332,False
common,0,16,False,False,all,sealed-indexed,True,179119,169712,205368,120158,18573,False
common,0,16,False,False,all,sealed-scan,False,277486,271182,298329,197833,21150,False
common,0,16,False,False,all,sealed-scan,True,151456,136648,170108,98998,16149,False
