case	mode	limit	status	steps	raw	failed	answers	exhausted	issued	committed_equations	lookahead_visits	projection_dereferences	max_outstanding	owner_buffered_peak	uncommitted_at_shutdown	calls	pairs	resolve_nodes	occurs_nodes	worker_completion
app-add-repeated	Inline	4	pass	46	1	5	1	true	20	20	73	31	2	2	0	20	26	146	25	[]
app-add-repeated	Threads(1)	1	pass	46	1	5	1	true	20	20	52	31	1	1	0	20	26	146	25	[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 18), (0, 19)]
app-add-repeated	Threads(1)	4	pass	46	1	5	1	true	20	20	73	31	2	1	0	20	26	146	25	[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 18), (0, 19)]
app-add-repeated	Threads(2)	1	pass	46	1	5	1	true	20	20	52	31	1	1	0	20	26	146	25	[(0, 0), (0, 1), (0, 2), (1, 3), (0, 4), (1, 5), (0, 6), (1, 7), (0, 8), (1, 9), (0, 10), (1, 11), (0, 12), (1, 13), (1, 14), (0, 15), (1, 16), (1, 17), (0, 18), (1, 19)]
app-add-repeated	Threads(2)	4	pass	46	1	5	1	true	20	20	73	31	2	1	0	20	26	146	25	[(0, 0), (1, 1), (0, 2), (1, 3), (0, 4), (1, 5), (0, 6), (1, 7), (0, 8), (1, 9), (0, 10), (1, 11), (0, 12), (1, 13), (0, 14), (1, 15), (0, 16), (1, 17), (0, 18), (1, 19)]
app-add-right	Owned	0	pass	25	1	3	1	true	9	9	0	0	0	0	0	9	13	78	16	[]
app-add-right	Shared	0	pass	25	1	3	1	true	0	0	0	0	0	0	0	0	0	0	0	[]
app-add-right	Inline	1	pass	25	1	3	1	true	9	9	28	6	1	1	0	9	13	78	16	[]
app-add-right	Inline	4	pass	25	1	3	1	true	9	9	35	6	2	2	0	9	13	78	16	[]
app-add-right	Threads(1)	1	pass	25	1	3	1	true	9	9	28	6	1	1	0	9	13	78	16	[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8)]
app-add-right	Threads(1)	4	pass	25	1	3	1	true	9	9	35	6	2	1	0	9	13	78	16	[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8)]
app-add-right	Threads(2)	1	pass	25	1	3	1	true	9	9	28	6	1	1	0	9	13	78	16	[(0, 0), (1, 1), (0, 2), (1, 3), (0, 4), (1, 5), (0, 6), (1, 7), (0, 8)]
app-add-right	Threads(2)	4	pass	25	1	3	1	true	9	9	35	6	2	1	0	9	13	78	16	[(0, 0), (1, 1), (0, 2), (1, 3), (0, 4), (1, 5), (0, 6), (0, 7), (0, 8)]
app-infer-identity	Owned	0	pass	54	1	10	1	true	18	18	0	0	0	0	0	18	32	212	26	[]
app-infer-identity	Shared	0	pass	54	1	10	1	true	0	0	0	0	0	0	0	0	0	0	0	[]
app-infer-identity	Inline	1	pass	54	1	10	1	true	18	18	62	34	1	1	0	18	32	212	26	[]
app-infer-identity	Inline	4	pass	54	1	10	1	true	18	18	102	34	3	3	0	18	32	212	26	[]
app-infer-identity	Threads(1)	1	pass	54	1	10	1	true	18	18	62	34	1	1	0	18	32	212	26	[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17)]
app-infer-identity	Threads(1)	4	pass	54	1	10	1	true	18	18	102	34	3	1	0	18	32	212	26	[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17)]
app-infer-identity	Threads(2)	1	pass	54	1	10	1	true	18	18	62	34	1	1	0	18	32	212	26	[(0, 0), (0, 1), (1, 2), (1, 3), (1, 4), (0, 5), (1, 6), (0, 7), (1, 8), (0, 9), (1, 10), (0, 11), (1, 12), (0, 13), (1, 14), (0, 15), (1, 16), (0, 17)]
app-infer-identity	Threads(2)	4	pass	54	1	10	1	true	18	18	102	34	3	2	0	18	32	212	26	[(0, 0), (1, 1), (0, 2), (1, 3), (1, 5), (0, 4), (1, 6), (0, 7), (1, 8), (0, 9), (1, 10), (1, 12), (0, 11), (1, 13), (0, 14), (1, 15), (0, 16), (1, 17)]
app-lambda-identity	Owned	0	pass	112	1	28	1	true	37	37	0	0	0	0	0	37	60	389	31	[]
app-lambda-identity	Shared	0	pass	112	1	28	1	true	0	0	0	0	0	0	0	0	0	0	0	[]
app-lambda-identity	Inline	1	pass	112	1	28	1	true	37	37	146	109	1	1	0	37	60	389	31	[]
app-lambda-identity	Inline	4	pass	112	1	28	1	true	37	37	384	109	4	4	0	37	60	389	31	[]
