case	mode	pass	steps	applications	introductions	equations	pairs	dereferences	occurs	head_candidates	splits	failed	raw	answers	max_frontier	pending	map_visits	map_allocations	snapshot_copies	pending_allocations	term_requests	term_nodes	observer_pairs	observer_scans	allocation_calls	requested_bytes	baseline_live	peak_live	final_live	elapsed_us
grid-carry-k0-w256-n16	Copy	true	530	256	273	0	0	0	0	257	0	0	1	1	1	0	6290	3256	0	273	394	258	0	0	10499	565397	31616	133620	111340	707
grid-carry-k0-w256-n128	Persistent	true	642	256	385	0	0	0	0	257	0	0	1	1	1	0	6516	4343	0	385	8514	258	0	0	76867	2021341	845528	1767708	1733780	4823
grid-carry-k0-w256-n128	Copy	true	642	256	385	0	0	0	0	257	0	0	1	1	1	0	6516	4343	0	385	8514	258	0	0	76867	2021341	845522	1767702	1733774	3541
grid-carry-k1-w0-n0	Persistent	true	8	1	2	2	2	7	2	3	1	0	2	2	2	0	15	7	0	5	4	4	1	0	139	8171	4179	8471	7955	40
grid-carry-k1-w0-n0	Copy	true	8	1	2	2	2	7	2	3	1	0	2	2	2	0	15	9	2	5	4	4	1	0	142	8323	4173	8465	7949	30
grid-carry-k1-w0-n16	Persistent	true	24	1	18	2	2	7	2	3	1	0	2	2	2	0	99	81	0	21	140	19	1	0	1999	64291	27965	67465	65285	94
grid-carry-k1-w0-n16	Copy	true	24	1	18	2	2	7	2	3	1	0	2	2	2	0	99	99	18	21	140	19	1	0	2018	65595	27959	67459	65279	131
grid-carry-k1-w0-n128	Persistent	true	136	1	130	2	2	7	2	3	1	0	2	2	2	0	878	858	0	133	8260	131	1	0	101236	2366331	1251511	2947043	2933215	5889
grid-carry-k1-w0-n128	Copy	true	136	1	130	2	2	7	2	3	1	0	2	2	2	0	878	988	130	133	8260	131	1	0	101367	2375699	1251505	2947037	2933209	6774
grid-carry-k1-w1-n0	Persistent	true	12	3	4	2	2	7	2	5	1	0	2	2	2	0	25	13	0	7	5	5	1	0	176	10314	4228	8826	8230	23
