case	mode	pass	steps	pairs	root_reads	output_root_reads	absence_visits	occurs_visits	splits	copied_entries	completed_regions	failed_regions	eager_projection_visits	output_projection_visits	eager_nodes	bindings	raw	answers	max_frontier	retained_regions	observer_pairs	observer_scans	observer_backtracks	allocation_calls	construct_requested	solve_requested	observe_requested	requested_bytes	baseline_live	peak_live	final_live	construct_us	solve_us	observe_us
correlated-k1-w8	Named	true	14	12	28	0	0	0	1	1	2	0	0	0	0	0	2	1	2	2	0	0	0	86	1722	1312	824	3858	921	3875	3587	2	5	3
correlated-k1-w64	Eager	true	134	132	532	0	0	0	0	0	2	0	264	0	264	0	2	1	2	2	0	0	0	1230	9898	22640	824	33362	922	33140	11764	18	70	2
correlated-k1-w64	Named	true	70	68	140	0	0	0	1	1	2	0	0	0	0	0	2	1	2	2	0	0	0	440	9898	3376	824	14098	922	13732	11764	19	8	2
correlated-k1-w256	Eager	true	518	516	2068	0	0	0	0	0	2	0	1032	0	1032	0	2	1	2	2	0	0	0	4749	37930	86024	824	124778	923	124557	39797	75	287	1
correlated-k1-w256	Named	true	262	260	524	0	0	0	1	1	2	0	0	0	0	0	2	1	2	2	0	0	0	1655	37930	10696	824	49450	923	49085	39797	62	23	1
correlated-k2-w0	Eager	true	16	12	64	0	0	0	0	0	4	0	24	0	24	0	4	1	4	4	0	0	0	121	958	3408	1160	5526	921	4663	3191	1	9	2
correlated-k2-w0	Named	true	14	10	32	0	0	0	3	6	4	0	0	0	0	0	4	1	4	4	0	0	0	58	958	1464	1160	3582	921	3359	3063	1	3	2
correlated-k2-w1	Eager	true	20	16	80	0	0	0	0	0	4	0	32	0	32	0	4	1	4	4	0	0	0	151	1104	3992	1160	6256	921	5393	3337	1	9	2
correlated-k2-w1	Named	true	15	11	34	0	0	0	3	6	4	0	0	0	0	0	4	1	4	4	0	0	0	64	1104	1464	1160	3728	921	3505	3209	1	5	2
correlated-k2-w8	Eager	true	48	44	192	0	0	0	0	0	4	0	88	0	88	0	4	1	4	4	0	0	0	363	2126	8288	1160	11574	921	10711	4359	3	21	2
correlated-k2-w8	Named	true	22	18	48	0	0	0	3	6	4	0	0	0	0	0	4	1	4	4	0	0	0	108	2126	1672	1160	4958	921	4527	4231	3	6	2
correlated-k2-w64	Eager	true	272	268	1088	0	0	0	0	0	4	0	536	0	536	0	4	1	4	4	0	0	0	2062	10302	43256	1160	54718	922	53856	12536	21	139	2
correlated-k2-w64	Named	true	78	74	160	0	0	0	3	6	4	0	0	0	0	0	4	1	4	4	0	0	0	463	10302	3936	1160	15398	922	14440	12408	21	14	2
correlated-k2-w256	Eager	true	1040	1036	4160	0	0	0	0	0	4	0	2072	0	2072	0	4	1	4	4	0	0	0	7884	38334	162504	1160	201998	923	201137	40569	113	583	2
correlated-k2-w256	Named	true	270	266	544	0	0	0	3	6	4	0	0	0	0	0	4	1	4	4	0	0	0	1677	38334	11056	1160	50550	923	49593	40441	79	32	2
correlated-k4-w0	Eager	true	96	80	448	0	0	0	0	0	16	0	160	0	160	0	16	1	16	16	0	0	0	532	1766	19216	4984	25966	921	17431	7359	2	38	7
correlated-k4-w0	Named	true	62	46	152	0	0	0	15	60	16	0	0	0	0	0	16	1	16	16	0	0	0	149	1766	6432	4984	13182	921	8103	6815	2	11	9
correlated-k4-w1	Eager	true	112	96	512	0	0	0	0	0	16	0	192	0	192	0	16	1	16	16	0	0	0	634	1912	21552	4984	28448	921	19913	7505	2	41	7
correlated-k4-w1	Named	true	63	47	154	0	0	0	15	60	16	0	0	0	0	0	16	1	16	16	0	0	0	155	1912	6432	4984	13328	921	8249	6961	2	11	9
correlated-k4-w8	Eager	true	224	208	960	0	0	0	0	0	16	0	416	0	416	0	16	1	16	16	0	0	0	1350	2934	38112	4984	46030	921	37495	8527	4	86	7
correlated-k4-w8	Named	true	70	54	168	0	0	0	15	60	16	0	0	0	0	0	16	1	16	16	0	0	0	199	2934	6640	4984	14558	921	9271	7983	3	8	4
correlated-k4-w64	Eager	true	1120	1104	4544	0	0	0	0	0	16	0	2208	0	2208	0	16	1	16	16	0	0	0	7081	11110	171192	4984	187286	922	178752	16704	21	506	7
correlated-k4-w64	Named	true	126	110	280	0	0	0	15	60	16	0	0	0	0	0	16	1	16	16	0	0	0	554	11110	8904	4984	24998	922	17448	16160	19	17	9
correlated-k4-w256	Eager	true	4192	4176	16832	0	0	0	0	0	16	0	8352	0	8352	0	16	1	16	16	0	0	0	26728	39142	627024	4984	671150	923	662617	44737	76	2164	7
correlated-k4-w256	Named	true	318	302	664	0	0	0	15	60	16	0	0	0	0	0	16	1	16	16	0	0	0	1769	39142	16224	4984	60350	923	50857	44193	75	36	7
